date,sales
2018-05-09,16743.179999999982
2018-05-10,16790.84999999998
2018-05-11,12215.089999999997
2018-05-12,4020.699999999999
2018-05-13,5216.3399999999965
2018-05-14,22483.60000000002
2018-05-15,17271.34999999999
2018-05-16,21178.879999999994
2018-05-17,19902.810000000012
2018-05-18,15051.759999999993
2018-05-19,3850.49
2018-05-20,3407.5499999999997
2018-05-21,21300.390000000003
2018-05-22,16919.33999999999
2018-05-23,14840.679999999995
2018-05-24,11234.600000000002
2018-05-25,8996.37
2018-05-26,3250.84
2018-05-27,6677.939999999997
2018-05-28,8392.529999999995
2018-05-29,20612.82000000001
2018-05-30,14224.04999999999
2018-05-31,13612.149999999987
2018-06-01,11651.799999999996
2018-06-02,4898.329999999998
2018-06-03,6461.170000000002
2018-06-04,22927.400000000012
2018-06-05,21873.640000000007
2018-06-06,15376.009999999993
2018-06-07,13975.679999999998
2018-06-08,9977.250000000007
2018-06-09,6328.799999999997
2018-06-10,6891.399999999995
2018-06-11,20160.779999999988
2018-06-12,16118.269999999997
2018-06-13,15473.569999999983
2018-06-14,13114.679999999988
2018-06-15,11672.699999999999
2018-06-16,3805.730000000001
2018-06-17,5704.31
2018-06-18,18747.37
2018-06-19,13129.920000000004
2018-06-20,17396.029999999984
2018-06-21,11196.079999999993
2018-06-22,10028.089999999995
2018-06-23,3645.1800000000007
2018-06-24,4837.51
2018-06-25,16317.019999999993
2018-06-26,16263.069999999989
2018-06-27,17051.57000000001
2018-06-28,12967.699999999992
2018-06-29,13272.079999999996
2018-06-30,3821.75
2018-07-01,3850.739999999999
2018-07-02,18420.129999999994
2018-07-03,10712.179999999993
2018-07-04,4706.670000000001
2018-07-05,13440.879999999983
2018-07-06,8656.07
2018-07-07,2366.85
2018-07-08,6091.899999999999
2018-07-09,15226.370000000003
2018-07-10,18377.909999999996
2018-07-11,12229.860000000002
2018-07-12,12561.499999999998
2018-07-13,7706.869999999995
2018-07-14,4754.599999999999
2018-07-15,5076.500000000001
2018-07-16,17796.249999999993
2018-07-17,14875.260000000004
2018-07-18,12371.259999999998
2018-07-19,9605.670000000004
2018-07-20,9803.690000000004
2018-07-21,4416.799999999999
2018-07-22,5437.709999999997
2018-07-23,18021.06000000002
2018-07-24,14917.800000000005
2018-07-25,18604.769999999997
2018-07-26,12914.379999999997
2018-07-27,7664.909999999998
2018-07-28,4692.499999999998
2018-07-29,5860.369999999995
2018-07-30,17798.289999999997
2018-07-31,19462.449999999997
2018-08-01,18040.76
2018-08-02,14683.599999999991
2018-08-03,10468.599999999999
2018-08-04,7727.799999999997
2018-08-05,6399.840000000002
2018-08-06,16267.279999999986
2018-08-07,17755.13999999999
2018-08-08,12566.539999999997
2018-08-09,12149.699999999993
2018-08-10,12144.569999999998
2018-08-11,3969.72
2018-08-12,4835.3499999999985
2018-08-13,19739.37
2018-08-14,17305.070000000003
2018-08-15,20223.440000000002
2018-08-16,18369.930000000004
2018-08-17,11201.369999999995
2018-08-18,4972.899999999999
2018-08-19,6111.459999999997
2018-08-20,25705.860000000008
2018-08-21,19526.549999999992
2018-08-22,17661.540000000015
2018-08-23,16161.930000000002
2018-08-24,16556.26999999998
2018-08-25,5032.629999999998
2018-08-26,5913.109999999997
2018-08-27,24965.36
2018-08-28,21340.40999999999
2018-08-29,15506.020000000008
2018-08-30,16230.399999999989
2018-08-31,19026.59000000001
2018-09-01,6747.949999999998
2018-09-02,4808.839999999997
2018-09-03,8857.129999999996
2018-09-04,29493.909999999974
2018-09-05,19668.519999999997
2018-09-06,23130.96999999999
2018-09-07,13569.889999999998
2018-09-08,7877.959999999997
2018-09-09,6228.690000000004
2018-09-10,26032.090000000004
2018-09-11,24535.30000000001
2018-09-12,13766.890000000001
2018-09-13,17814.28999999998
2018-09-14,12540.99999999999
2018-09-15,8244.419999999998
2018-09-16,10428.070000000005
2018-09-17,28874.580000000024
2018-09-18,19860.880000000005
2018-09-19,20011.180000000004
2018-09-20,17500.73
2018-09-21,12807.060000000007
2018-09-22,6009.339999999998
2018-09-23,7086.81
2018-09-24,22122.139999999985
2018-09-25,21011.93000000001
2018-09-26,27813.569999999974
2018-09-27,19851.76
2018-09-28,14086.909999999996
2018-09-29,7610.769999999999
2018-09-30,5473.399999999998
2018-10-01,30478.630000000005
2018-10-02,31649.00000000004
2018-10-03,27533.970000000023
2018-10-04,17845.919999999987
2018-10-05,18283.949999999983
2018-10-06,6472.519999999997
2018-10-07,11116.000000000005
2018-10-08,28688.570000000003
2018-10-09,27096.510000000017
2018-10-10,25555.59999999999
2018-10-11,22749.839999999993
2018-10-12,17933.79
2018-10-13,7961.000000000004
2018-10-14,8936.519999999999
2018-10-15,28414.530000000006
2018-10-16,28018.36999999999
2018-10-18,41838.70000000007
2018-10-19,10673.95
2018-10-20,5486.459999999997
2018-10-21,8048.910000000003
2018-10-22,30150.310000000005
2018-10-23,28213.660000000003
2018-10-24,21502.78000000001
2018-10-25,13536.729999999992
2018-10-26,16043.259999999991
2018-10-27,4521.260000000002
2018-10-28,5993.89
2018-10-29,25445.02999999999
2018-10-30,13837.020000000004
2018-10-31,19546.87000000001
2018-11-01,25005.560000000005
2018-11-02,16363.729999999994
2018-11-03,10254.31
2018-11-04,7936.099999999998
2018-11-05,34340.10999999997
2018-11-06,29955.560000000016
2018-11-07,25009.270000000008
2018-11-08,24035.679999999986
2018-11-09,13402.979999999992
2018-11-10,8996.789999999999
2018-11-11,9225.340000000004
2018-11-12,34390.68000000006
2018-11-13,28588.430000000004
2018-11-14,28011.58000000001
2018-11-15,21297.649999999983
2018-11-16,20255.430000000004
2018-11-17,8568.849999999999
2018-11-18,5241.690000000003
2018-11-19,31238.560000000005
2018-11-20,21552.440000000002
2018-11-21,16818.799999999996
2018-11-22,5044.29
2018-11-23,9860.399999999996
2018-11-24,7368.199999999999
2018-11-25,10307.639999999998
2018-11-26,90431.45000000011
2018-11-27,57806.34000000001
2018-11-28,18259.83
2018-11-29,16007.229999999998
2018-11-30,14827.449999999997
2018-12-01,7947.0999999999985
2018-12-02,8937.909999999996
2018-12-03,31077.27000000003
2018-12-04,31504.84
2018-12-05,24426.870000000003
2018-12-06,28742.920000000002
2018-12-07,24148.28999999998
2018-12-08,9306.719999999998
2018-12-09,12118.469999999998
2018-12-10,38022.26000000002
2018-12-11,34125.02000000002
2018-12-12,26836.54000000003
2018-12-13,24787.28000000001
2018-12-14,18619.52
2018-12-15,10311.549999999994
2018-12-16,10670.229999999996
